source,year,heroic_total,nuisance_total,culinary_total,sport_total,hunting_total,mean_net_tone,n_articles,heroic_rate,nuisance_rate,culinary_rate,sport_rate,hunting_rate,signed_tone_rate,total_loaded,positivity_ratio
ChroniclingAmerica,1926,19.875,1.9375,2.3125,15.3125,2.6875,0.031818181818181815,220,0.0903409090909091,0.008806818181818181,0.010511363636363636,0.06960227272727272,0.012215909090909092,0.08153409090909092,21.8125,0.9111747851002865
ChroniclingAmerica,1927,5.875,0.0,0.9375,4.9375,0.25,0.0125,240,0.024479166666666666,0.0,0.00390625,0.020572916666666666,0.0010416666666666667,0.024479166666666666,5.875,1.0
ChroniclingAmerica,1928,8.5625,0.875,2.8125,14.9375,5.4375,0.020833333333333332,240,0.03567708333333333,0.0036458333333333334,0.01171875,0.062239583333333334,0.02265625,0.03203125,9.4375,0.9072847682119205
ChroniclingAmerica,1929,22.25,0.0,0.0,4.9375,4.9375,0.0625,240,0.09270833333333334,0.0,0.0,0.020572916666666666,0.020572916666666666,0.09270833333333334,22.25,1.0
ChroniclingAmerica,1930,22.875,0.4375,2.75,34.0625,2.875,0.04583333333333333,240,0.0953125,0.0018229166666666667,0.011458333333333333,0.14192708333333334,0.011979166666666667,0.09348958333333333,23.3125,0.9812332439678284
ChroniclingAmerica,1931,17.1875,0.0,0.625,14.0,0.0,0.029166666666666667,240,0.07161458333333333,0.0,0.0026041666666666665,0.058333333333333334,0.0,0.07161458333333333,17.1875,1.0
ChroniclingAmerica,1932,12.9375,0.0,0.5,4.625,0.125,0.020833333333333332,240,0.05390625,0.0,0.0020833333333333333,0.019270833333333334,0.0005208333333333333,0.05390625,12.9375,1.0
ChroniclingAmerica,1933,5.5625,0.9375,0.9375,1.8125,2.125,0.0125,240,0.023177083333333334,0.00390625,0.00390625,0.007552083333333333,0.008854166666666666,0.019270833333333334,6.5,0.8557692307692307
ChroniclingAmerica,1934,3.1875,0.8125,1.6875,4.125,5.4375,0.016666666666666666,240,0.01328125,0.0033854166666666668,0.00703125,0.0171875,0.02265625,0.009895833333333333,4.0,0.796875
ChroniclingAmerica,1935,22.1875,0.0,1.25,34.6875,0.0,0.0375,240,0.09244791666666667,0.0,0.005208333333333333,0.14453125,0.0,0.09244791666666667,22.1875,1.0
ChroniclingAmerica,1936,10.6875,1.25,0.6875,9.75,0.125,0.016666666666666666,240,0.04453125,0.005208333333333333,0.002864583333333333,0.040625,0.0005208333333333333,0.039322916666666666,11.9375,0.8952879581151832
ChroniclingAmerica,1937,9.1875,0.0,0.8125,5.75,6.4375,0.02727272727272727,220,0.04176136363636364,0.0,0.003693181818181818,0.026136363636363635,0.029261363636363637,0.04176136363636364,9.1875,1.0
ChroniclingAmerica,1938,17.875,1.75,0.375,10.875,7.5625,0.041666666666666664,240,0.07447916666666667,0.007291666666666667,0.0015625,0.0453125,0.031510416666666666,0.0671875,19.625,0.910828025477707
ChroniclingAmerica,1939,8.75,0.0625,6.125,5.25,4.9375,0.0125,240,0.036458333333333336,0.00026041666666666666,0.025520833333333333,0.021875,0.020572916666666666,0.03619791666666667,8.8125,0.9929078014184397
ChroniclingAmerica,1940,27.3125,0.5625,1.8125,9.5,0.0,0.04583333333333333,240,0.11380208333333333,0.00234375,0.007552083333333333,0.03958333333333333,0.0,0.11145833333333333,27.875,0.9798206278026906
ChroniclingAmerica,1941,41.6875,2.9375,0.4375,22.375,4.375,0.05,240,0.17369791666666667,0.012239583333333333,0.0018229166666666667,0.09322916666666667,0.018229166666666668,0.16145833333333334,44.625,0.9341736694677871
ChroniclingAmerica,1942,14.625,2.0625,0.0,6.5,1.8125,0.029166666666666667,240,0.0609375,0.00859375,0.0,0.027083333333333334,0.007552083333333333,0.052343749999999994,16.6875,0.8764044943820225
ChroniclingAmerica,1943,9.6875,0.8125,0.875,4.75,3.0625,0.041666666666666664,240,0.040364583333333336,0.0033854166666666668,0.0036458333333333334,0.019791666666666666,0.012760416666666666,0.03697916666666667,10.5,0.9226190476190477
ChroniclingAmerica,1944,20.1875,0.0,4.875,3.5625,0.25,0.05,240,0.08411458333333334,0.0,0.0203125,0.01484375,0.0010416666666666667,0.08411458333333334,20.1875,1.0
ChroniclingAmerica,1945,21.6875,3.625,0.0,22.9375,0.0,0.0375,240,0.09036458333333333,0.015104166666666667,0.0,0.09557291666666666,0.0,0.07526041666666666,25.3125,0.8567901234567902
ChroniclingAmerica,1946,10.125,4.25,6.75,5.3125,6.0625,0.008333333333333333,240,0.0421875,0.017708333333333333,0.028125,0.022135416666666668,0.025260416666666667,0.02447916666666667,14.375,0.7043478260869566
ChroniclingAmerica,1947,6.0625,0.0,3.3125,20.625,0.1875,0.025,240,0.025260416666666667,0.0,0.013802083333333333,0.0859375,0.00078125,0.025260416666666667,6.0625,1.0
ChroniclingAmerica,1948,9.9375,0.9375,1.3125,10.8125,3.5,0.0125,240,0.04140625,0.00390625,0.00546875,0.04505208333333333,0.014583333333333334,0.0375,10.875,0.9137931034482759
ChroniclingAmerica,1949,2.1875,0.0,0.5625,2.8125,0.0,0.008333333333333333,240,0.009114583333333334,0.0,0.00234375,0.01171875,0.0,0.009114583333333334,2.1875,1.0
ChroniclingAmerica,1950,1.3125,0.125,0.0,1.5,0.6875,0.004166666666666667,240,0.00546875,0.0005208333333333333,0.0,0.00625,0.002864583333333333,0.0049479166666666664,1.4375,0.9130434782608695
ChroniclingAmerica,1951,4.125,3.5625,1.6875,4.4375,19.375,-0.004166666666666667,240,0.0171875,0.01484375,0.00703125,0.018489583333333334,0.08072916666666667,0.002343750000000002,7.6875,0.5365853658536586
ChroniclingAmerica,1952,7.0625,3.0625,1.0,13.625,5.0,0.0,240,0.029427083333333333,0.012760416666666666,0.004166666666666667,0.05677083333333333,0.020833333333333332,0.016666666666666666,10.125,0.6975308641975309
ChroniclingAmerica,1953,3.375,0.9375,0.0,4.9375,0.25,0.016666666666666666,240,0.0140625,0.00390625,0.0,0.020572916666666666,0.0010416666666666667,0.01015625,4.3125,0.782608695652174
ChroniclingAmerica,1954,0.0,0.125,0.0625,0.0,0.875,-0.004166666666666667,240,0.0,0.0005208333333333333,0.00026041666666666666,0.0,0.0036458333333333334,-0.0005208333333333333,0.125,0.0
ChroniclingAmerica,1955,3.0625,3.1875,1.4375,0.625,4.25,0.004166666666666667,240,0.012760416666666666,0.01328125,0.005989583333333334,0.0026041666666666665,0.017708333333333333,-0.0005208333333333332,6.25,0.49
ChroniclingAmerica,1956,11.0,3.625,5.0,4.3125,0.4375,0.0,240,0.04583333333333333,0.015104166666666667,0.020833333333333332,0.01796875,0.0018229166666666667,0.03072916666666666,14.625,0.7521367521367521
ChroniclingAmerica,1957,11.25,0.0,0.9375,4.875,9.0,0.029411764705882353,238,0.04726890756302521,0.0,0.003939075630252101,0.020483193277310924,0.037815126050420166,0.04726890756302521,11.25,1.0
ChroniclingAmerica,1958,3.25,1.0,1.625,4.75,2.125,0.016666666666666666,240,0.013541666666666667,0.004166666666666667,0.0067708333333333336,0.019791666666666666,0.008854166666666666,0.009375000000000001,4.25,0.7647058823529411
ChroniclingAmerica,1959,4.6875,1.5,1.4375,1.3125,0.75,0.0125,240,0.01953125,0.00625,0.005989583333333334,0.00546875,0.003125,0.01328125,6.1875,0.7575757575757576
ChroniclingAmerica,1960,7.875,1.625,1.625,12.8125,3.0,0.03333333333333333,240,0.0328125,0.0067708333333333336,0.0067708333333333336,0.053385416666666664,0.0125,0.026041666666666668,9.5,0.8289473684210527
ChroniclingAmerica,1961,4.25,1.3125,2.5,3.5,3.3125,0.0211864406779661,236,0.018008474576271187,0.005561440677966102,0.01059322033898305,0.014830508474576272,0.014036016949152543,0.012447033898305086,5.5625,0.7640449438202247
ChroniclingAmerica,1962,5.8125,0.0,0.75,3.6875,3.375,0.025,240,0.02421875,0.0,0.003125,0.015364583333333333,0.0140625,0.02421875,5.8125,1.0
ChroniclingAmerica,1963,2.1875,2.375,1.6875,5.0,1.1875,-0.004166666666666667,240,0.009114583333333334,0.009895833333333333,0.00703125,0.020833333333333332,0.0049479166666666664,-0.000781249999999999,4.5625,0.4794520547945205
NYT,1880,6.5625,1.8125,0.0,6.75,14.625,0.1935483870967742,31,0.21169354838709678,0.05846774193548387,0.0,0.21774193548387097,0.4717741935483871,0.1532258064516129,8.375,0.7835820895522388
NYT,1881,18.4375,0.0,0.0,12.875,19.5625,0.3191489361702128,47,0.39228723404255317,0.0,0.0,0.27393617021276595,0.4162234042553192,0.39228723404255317,18.4375,1.0
NYT,1882,7.0,0.9375,0.0,26.375,6.5625,0.22727272727272727,22,0.3181818181818182,0.04261363636363636,0.0,1.1988636363636365,0.29829545454545453,0.2755681818181818,7.9375,0.8818897637795275
NYT,1883,11.6875,0.9375,0.0,13.9375,19.375,0.20833333333333334,48,0.24348958333333334,0.01953125,0.0,0.2903645833333333,0.4036458333333333,0.22395833333333334,12.625,0.9257425742574258
NYT,1884,0.875,0.0,0.9375,1.8125,7.0,0.058823529411764705,17,0.051470588235294115,0.0,0.05514705882352941,0.10661764705882353,0.4117647058823529,0.051470588235294115,0.875,1.0
NYT,1885,4.6875,0.0,0.0,2.9375,2.8125,0.38461538461538464,13,0.3605769230769231,0.0,0.0,0.22596153846153846,0.21634615384615385,0.3605769230769231,4.6875,1.0
NYT,1886,2.8125,0.0,1.625,6.4375,9.375,0.13636363636363635,22,0.1278409090909091,0.0,0.07386363636363637,0.29261363636363635,0.42613636363636365,0.1278409090909091,2.8125,1.0
NYT,1887,5.0625,0.0,6.625,28.25,25.3125,0.09090909090909091,33,0.1534090909090909,0.0,0.20075757575757575,0.8560606060606061,0.7670454545454546,0.1534090909090909,5.0625,1.0
NYT,1888,7.3125,0.0,5.125,3.4375,16.0625,0.25,28,0.2611607142857143,0.0,0.18303571428571427,0.12276785714285714,0.5736607142857143,0.2611607142857143,7.3125,1.0
NYT,1889,4.1875,0.0,0.875,12.25,20.0625,0.19230769230769232,26,0.16105769230769232,0.0,0.03365384615384615,0.47115384615384615,0.7716346153846154,0.16105769230769232,4.1875,1.0
NYT,1890,11.625,0.0,4.9375,15.25,14.25,0.2647058823529412,34,0.34191176470588236,0.0,0.14522058823529413,0.4485294117647059,0.41911764705882354,0.34191176470588236,11.625,1.0
NYT,1891,12.3125,0.0,0.875,9.5625,13.3125,0.23076923076923078,26,0.4735576923076923,0.0,0.03365384615384615,0.36778846153846156,0.5120192307692307,0.4735576923076923,12.3125,1.0
NYT,1892,6.4375,0.1875,3.375,13.0,11.75,0.21212121212121213,33,0.19507575757575757,0.005681818181818182,0.10227272727272728,0.3939393939393939,0.3560606060606061,0.1893939393939394,6.625,0.9716981132075472
NYT,1893,11.125,0.9375,3.1875,7.5625,6.125,0.27586206896551724,29,0.38362068965517243,0.032327586206896554,0.10991379310344827,0.2607758620689655,0.21120689655172414,0.35129310344827586,12.0625,0.9222797927461139
NYT,1894,12.5,1.875,18.5625,23.5,5.6875,0.24,25,0.5,0.075,0.7425,0.94,0.2275,0.425,14.375,0.8695652173913043
NYT,1895,13.1875,0.3125,0.9375,5.9375,6.1875,0.4074074074074074,27,0.48842592592592593,0.011574074074074073,0.034722222222222224,0.2199074074074074,0.22916666666666666,0.47685185185185186,13.5,0.9768518518518519
NYT,1896,9.625,0.0,8.8125,16.0,8.125,0.25925925925925924,27,0.35648148148148145,0.0,0.3263888888888889,0.5925925925925926,0.30092592592592593,0.35648148148148145,9.625,1.0
NYT,1897,29.5625,0.0,2.125,5.5625,9.0625,0.43243243243243246,37,0.7989864864864865,0.0,0.057432432432432436,0.15033783783783783,0.24493243243243243,0.7989864864864865,29.5625,1.0
NYT,1898,17.5625,1.25,11.75,15.6875,5.8125,0.32,25,0.7025,0.05,0.47,0.6275,0.2325,0.6525,18.8125,0.9335548172757475
NYT,1899,7.25,0.0,1.75,2.8125,4.25,0.4,20,0.3625,0.0,0.0875,0.140625,0.2125,0.3625,7.25,1.0
NYT,1900,3.625,0.0,12.75,15.4375,13.0625,0.03875968992248062,129,0.02810077519379845,0.0,0.09883720930232558,0.11967054263565892,0.10125968992248062,0.02810077519379845,3.625,1.0
NYT,1901,9.0625,0.0,3.8125,7.9375,37.3125,0.03755868544600939,213,0.042546948356807515,0.0,0.01789906103286385,0.03726525821596244,0.17517605633802816,0.042546948356807515,9.0625,1.0
NYT,1902,2.75,0.0,0.0,2.625,34.8125,0.020512820512820513,195,0.014102564102564103,0.0,0.0,0.013461538461538462,0.17852564102564103,0.014102564102564103,2.75,1.0
NYT,1903,4.125,0.0,0.9375,1.875,1.375,0.03389830508474576,118,0.034957627118644065,0.0,0.007944915254237288,0.015889830508474576,0.011652542372881356,0.034957627118644065,4.125,1.0
NYT,1904,9.375,0.0,0.8125,5.625,5.6875,0.04938271604938271,162,0.05787037037037037,0.0,0.005015432098765432,0.034722222222222224,0.03510802469135803,0.05787037037037037,9.375,1.0
NYT,1905,3.375,1.125,0.0,1.9375,5.5,0.030303030303030304,99,0.03409090909090909,0.011363636363636364,0.0,0.019570707070707072,0.05555555555555555,0.022727272727272724,4.5,0.75
NYT,1906,0.0,0.0,0.8125,1.5,2.6875,0.0,75,0.0,0.0,0.010833333333333334,0.02,0.035833333333333335,0.0,0.0,
NYT,1907,2.4375,0.0,1.8125,4.8125,0.0,0.03125,96,0.025390625,0.0,0.018880208333333332,0.050130208333333336,0.0,0.025390625,2.4375,1.0
NYT,1908,5.5,0.0,0.0,3.625,1.875,0.05102040816326531,98,0.05612244897959184,0.0,0.0,0.036989795918367346,0.01913265306122449,0.05612244897959184,5.5,1.0
NYT,1909,3.1875,0.0,0.0,3.5,0.0,0.03260869565217391,92,0.034646739130434784,0.0,0.0,0.03804347826086957,0.0,0.034646739130434784,3.1875,1.0
NYT,1910,8.375,0.4375,0.9375,9.125,0.5,0.03773584905660377,106,0.07900943396226415,0.004127358490566038,0.00884433962264151,0.08608490566037735,0.0047169811320754715,0.0748820754716981,8.8125,0.950354609929078
NYT,1911,1.8125,0.0,7.75,7.0625,0.9375,0.016,125,0.0145,0.0,0.062,0.0565,0.0075,0.0145,1.8125,1.0
NYT,1912,0.1875,0.4375,0.875,1.0,0.0,-0.007246376811594203,138,0.001358695652173913,0.003170289855072464,0.006340579710144928,0.007246376811594203,0.0,-0.001811594202898551,0.625,0.3
NYT,1913,5.125,0.0,0.0,0.875,0.0,0.02142857142857143,140,0.03660714285714286,0.0,0.0,0.00625,0.0,0.03660714285714286,5.125,1.0
NYT,1914,19.125,1.5625,0.625,7.3125,5.1875,0.05185185185185185,135,0.14166666666666666,0.011574074074074073,0.004629629629629629,0.05416666666666667,0.038425925925925926,0.1300925925925926,20.6875,0.9244712990936556
NYT,1915,13.3125,0.0,0.0,3.0,0.0,0.02702702702702703,111,0.11993243243243243,0.0,0.0,0.02702702702702703,0.0,0.11993243243243243,13.3125,1.0
NYT,1916,8.9375,0.0,20.8125,12.3125,1.625,0.03571428571428571,84,0.10639880952380952,0.0,0.24776785714285715,0.14657738095238096,0.019345238095238096,0.10639880952380952,8.9375,1.0
NYT,1917,10.875,0.3125,0.0,2.25,0.0,0.07692307692307693,78,0.13942307692307693,0.004006410256410256,0.0,0.028846153846153848,0.0,0.13541666666666669,11.1875,0.9720670391061452
NYT,1918,30.125,0.3125,0.0,11.6875,0.375,0.11504424778761062,113,0.2665929203539823,0.0027654867256637168,0.0,0.103429203539823,0.00331858407079646,0.26382743362831856,30.4375,0.9897330595482546
NYT,1919,28.0625,0.0,2.1875,5.0625,0.0,0.11458333333333333,96,0.2923177083333333,0.0,0.022786458333333332,0.052734375,0.0,0.2923177083333333,28.0625,1.0
NYT,1920,3.1875,0.0,2.375,5.75,3.3125,0.05063291139240506,79,0.040348101265822785,0.0,0.030063291139240507,0.07278481012658228,0.041930379746835444,0.040348101265822785,3.1875,1.0
NYT,1921,6.9375,0.0,0.0,4.5,4.5,0.08181818181818182,110,0.06306818181818181,0.0,0.0,0.04090909090909091,0.04090909090909091,0.06306818181818181,6.9375,1.0
NYT,1922,7.625,1.5,2.8125,10.5625,0.75,0.04895104895104895,143,0.05332167832167832,0.01048951048951049,0.019667832167832168,0.07386363636363637,0.005244755244755245,0.04283216783216783,9.125,0.8356164383561644
